csv_label,match_type,ttl_label,event_uri,event_identifier,estimatedstart,estimatedend,cax,cay,caz,startfixed,endfixed,nfsn,nfen
Vechten,exact,Vechten,http://leiza-scit.github.io/CAA2026-alligator/y2x4m1,y2x4m1,16.0,28.0,0.8037,-0.2304,0.3963,false,false,Velsen,Velsen
"Vindonissa, Scheuerhof",exact,"Vindonissa, Scheuerhof",http://leiza-scit.github.io/CAA2026-alligator/ZjEqbL,ZjEqbL,-7.0,9.0,0.137,0.1014,0.0032,false,false,Haltern,Haltern
Worms,exact,Worms,http://leiza-scit.github.io/CAA2026-alligator/k8nxQm,k8nxQm,-15.0,13.0,-0.5313,0.4841,-0.5543,false,false,Neuss,"Augst, Insula 31"
"Augsburg, Stadt",exact,"Augsburg, Stadt",http://leiza-scit.github.io/CAA2026-alligator/OgMWNb,OgMWNb,8.0,13.0,0.5881,0.0313,-0.5718,false,false,"Augst, Insula 31","Augst, Insula 31"
"Augst, Theater",exact,"Augst, Theater",http://leiza-scit.github.io/CAA2026-alligator/YRRWbO,YRRWbO,16.0,28.0,0.7059,-0.0757,-0.2543,false,false,Velsen,Velsen
"Avenches, Insula 15",exact,"Avenches, Insula 15",http://leiza-scit.github.io/CAA2026-alligator/Y5e3Dg,Y5e3Dg,8.0,13.0,0.3853,-0.0153,-0.3444,false,false,"Augst, Insula 31","Augst, Insula 31"
Friedberg,exact,Friedberg,http://leiza-scit.github.io/CAA2026-alligator/Zdqgb9,Zdqgb9,8.0,13.0,0.4748,0.0596,-0.3632,false,false,"Augst, Insula 31","Augst, Insula 31"
Maastricht,exact,Maastricht,http://leiza-scit.github.io/CAA2026-alligator/l5MgeA,l5MgeA,16.0,28.0,0.8086,-0.2157,0.4184,false,false,Velsen,Velsen
"Oberwinterthur, Römerstr. 186",exact,"Oberwinterthur, Römerstr. 186",http://leiza-scit.github.io/CAA2026-alligator/Xdo5Y9,Xdo5Y9,8.0,13.0,0.479,0.0493,-0.5557,false,false,"Augst, Insula 31","Augst, Insula 31"
Velsen,exact,Velsen,http://leiza-scit.github.io/CAA2026-alligator/RxjVWG,RxjVWG,16.0,28.0,0.8336,-0.1823,0.0086,true,true,,
"Vindonissa, Königsfelden",exact,"Vindonissa, Königsfelden",http://leiza-scit.github.io/CAA2026-alligator/Q5qW8B,Q5qW8B,8.0,13.0,0.3832,0.2064,-1.0289,false,false,"Augst, Insula 31","Augst, Insula 31"
Wiesbaden,exact,Wiesbaden,http://leiza-scit.github.io/CAA2026-alligator/k24W0n,k24W0n,8.0,13.0,0.4593,0.0995,-0.5028,false,false,"Augst, Insula 31","Augst, Insula 31"
"Zurzach, Lager",exact,"Zurzach, Lager",http://leiza-scit.github.io/CAA2026-alligator/Jl2mN8,Jl2mN8,16.0,28.0,0.6625,-0.054,-0.2208,false,false,Velsen,Velsen
